Date,Chrome,Mobile Safari,Internet Explorer,Android Webkit,Firefox,Others
1-Jan,28.5,20.8,13.4,10.1,9.5,17.7
2-Jan,30.5,18.8,14.5,9.2,10.2,16.8
3-Jan,29.8,19.8,13.2,9.7,9.9,17.6
4-Jan,29.6,20.2,12.9,9.7,9.9,17.7
5-Jan,31.7,16.9,16,8.6,10.7,16.1
6-Jan,31.8,16.9,15.9,8.6,10.7,16.1
7-Jan,32.1,16.6,16,8.5,11,15.8
8-Jan,31.4,16.5,15.6,9.8,10.9,15.8
9-Jan,30.5,16.3,15.1,11.8,10.5,15.8
10-Jan,29.1,18.5,12.5,13.2,9.6,17.1
11-Jan,28.4,19.2,12,13.4,9.5,17.5
12-Jan,30.5,16.5,15.2,11.7,10.5,15.6
13-Jan,30.8,16.1,15.4,11.6,10.5,15.6
14-Jan,30.7,16,15.6,11.6,10.6,15.5
15-Jan,30.8,16.3,15.2,11.5,10.5,15.7
16-Jan,30.4,16.8,15.4,10.7,10.4,16.3
17-Jan,29.4,20.5,12.4,10.8,9.8,17.1
18-Jan,28.9,21.2,12,10.6,9.8,17.5
19-Jan,30.9,18.7,14.6,9.3,10.6,15.9
20-Jan,31.3,17.5,15.5,9.1,10.8,15.8
21-Jan,31.5,17.5,15.4,9,10.8,15.8
22-Jan,31.4,17.7,15.3,9,10.7,15.9
23-Jan,31.2,17.9,15,9.2,10.6,16.1
24-Jan,29.8,20.4,12.4,10.1,9.9,17.4
25-Jan,29.3,21.1,12,10.2,9.8,17.6
26-Jan,31.1,18.1,15.1,8.9,10.7,16.1
27-Jan,31.3,17.9,15.2,8.8,10.7,16.1
28-Jan,31.7,17.4,15.2,8.9,10.8,16
29-Jan,31.3,17.8,15.1,8.9,10.7,16.2
30-Jan,31.2,18.1,14.9,9,10.6,16.2
31-Jan,29.6,21.2,12.2,9.9,9.7,17.4
